atlasId,atlasName,cohortId,name
862,[CKim] antiADHD alone no antidepressant in adhd Age Group 2,862,CKim_antiADHD_alone_no_antidepressant_in_adhd_Age_Group_2
867,[CKim] SSRI antiADHD in adhd AGE Group 2,867,CKim_SSRI_antiADHD_in_adhd_AGE_Group_2
121,[CKim] hyperlipidemia,121,CKim_hyperlipidemia
126,[CKim] bleeding,126,CKim_bleeding
786,[CKim] suicidal event,786,CKim_suicidal_event
787,[CKim] Arrhythmia,787,CKim_Arrhythmia
788,[CKim] Heart Failure,788,CKim_Heart_Failure
789,[CKim] delirium,789,CKim_delirium
790,[CKim] Essential hypertension,790,CKim_Essential_hypertension
791,[CKim] MI,791,CKim_MI
792,[CKim] seizure,792,CKim_seizure
797,[CKim] ischemic heart disease,797,CKim_ischemic_heart_disease
799,[CKim] agitation,799,CKim_agitation
800,[CKim] anxiety,800,CKim_anxiety
801,[CKim] fatigue,801,CKim_fatigue
802,[CKim] dizziness,802,CKim_dizziness
803,[CKim] headache,803,CKim_headache
804,[CKim] mania,804,CKim_mania
805,[CKim] psychosis,805,CKim_psychosis
806,[CKim] insomnia,806,CKim_insomnia
807,[CKim] anorexia,807,CKim_anorexia
808,[CKim] appetitie,808,CKim_appetitie
809,[CKim] type 1 diabetes,809,CKim_type_1_diabetes
810,[CKim] type 2 diabetes,810,CKim_type_2_diabetes
811,[CKim] obesity,811,CKim_obesity
812,[CKim] cardiomyopathy,812,CKim_cardiomyopathy
813,[CKim] cerebrovascular disease,813,CKim_cerebrovascular_disease
814,[CKim] coronary heart disease,814,CKim_coronary_heart_disease
815,[CKim] hypotension,815,CKim_hypotension
816,[CKim] myocarditis,816,CKim_myocarditis
817,[CKim] atrial fibrillation,817,CKim_atrial_fibrillation
818,[CKim] Abdominal pain,818,CKim_Abdominal_pain
819,[CKim] constipation,819,CKim_constipation
820,[CKim] diarrhea,820,CKim_diarrhea
821,[CKim] nausea vomitting,821,CKim_nausea_vomitting
822,[CKim] chronic kidney disease,822,CKim_chronic_kidney_disease
823,[CKim] tremor,823,CKim_tremor
824,[CKim] dystonia,824,CKim_dystonia
825,[CKim] gambling,825,CKim_gambling
826,[CKim] substance abuse,826,CKim_substance_abuse
827,[CKim] self injury,827,CKim_self_injury
828,[CKim] gynecomastia,828,CKim_gynecomastia
829,[CKim] hyperprolactinemia,829,CKim_hyperprolactinemia
830,[CKim] hypo_hyperthyroidism,830,CKim_hypo_hyperthyroidism
831,[CKim] anemia,831,CKim_anemia
832,[CKim] thrombocytopenia,832,CKim_thrombocytopenia
833,[CKim] acute respiratory failure,833,CKim_acute_respiratory_failure
834,[CKim] asthma outcome,834,CKim_asthma_outcome
835,[CKim] nasopharyngitis,835,CKim_nasopharyngitis
836,[CKim] upper respiratory tract infection pneumonia,836,CKim_upper_respiratory_tract_infection_pneumonia
837,[CKim] osteoporosis outcome,837,CKim_osteoporosis_outcome
838,[CKim] fracture,838,CKim_fracture
839,[CKim] accident,839,CKim_accident
840,[CKim] fever,840,CKim_fever
919,[CKim] traumatic injury,919,CKim_traumatic_injury
922,[CKim] abnormal gait,922,CKim_abnormal_gait
923,[CKim] tic disorder,923,CKim_tic_disorder
987,[CKim] hyponatremia,987,CKim_hyponatremia
1028,[CKim] sleep disorder,1028,CKim_sleep_disorder
1029,[CKim] Epilepsy,1029,CKim_Epilepsy
1030,[CKim] schizophrenia,1030,CKim_schizophrenia
1031,[CKim] liver disease,1031,CKim_liver_disease
1032,[CKim] intellectual disability,1032,CKim_intellectual_disability
1033,[CKim] Parkinson,1033,CKim_Parkinson
877,[CKim] fluoxetine antiADHD in adhd Age Group 2,877,CKim_fluoxetine_antiADHD_in_adhd_Age_Group_2
872,[CKim] escitalopram antiADHD in adhd Age Group 2,872,CKim_escitalopram_antiADHD_in_adhd_Age_Group_2
917,[CKim] MPH alone no antidepressant in adhd Age Group 2,917,CKim_MPH_alone_no_antidepressant_in_adhd_Age_Group_2
887,[CKim] SSRI MPH in adhd Age Group 2,887,CKim_SSRI_MPH_in_adhd_Age_Group_2
897,[CKim] fluoxetine MPH in adhd Age Group 2,897,CKim_fluoxetine_MPH_in_adhd_Age_Group_2
892,[CKim] escitalopram MPH in adhd Age Group 2,892,CKim_escitalopram_MPH_in_adhd_Age_Group_2
857,[CKim] AntiADHD alone in adhd AGE Group 2,857,CKim_AntiADHD_alone_in_adhd_AGE_Group_2
912,[CKim] MPH alone in adhd Age Group 2,912,CKim_MPH_alone_in_adhd_Age_Group_2
1039,[CKim] SSRI MPH in adhd Age Group 2 gap 0,1039,CKim_SSRI_MPH_in_adhd_Age_Group_2_gap_0
1041,[CKim] SSRI antiADHD in adhd AGE Group 2 gap 0,1041,CKim_SSRI_antiADHD_in_adhd_AGE_Group_2_gap_0
1043,[CKim] escitalopram MPH in adhd Age Group 2 gap 0,1043,CKim_escitalopram_MPH_in_adhd_Age_Group_2_gap_0
1042,[CKim] fluoxetine MPH in adhd Age Group 2 gap 0,1042,CKim_fluoxetine_MPH_in_adhd_Age_Group_2_gap_0
1045,[CKim] fluoxetine antiADHD in adhd Age Group 2 gap 0,1045,CKim_fluoxetine_antiADHD_in_adhd_Age_Group_2_gap_0
1046,[CKim] escitalopram antiADHD in adhd Age Group 2 gap 0,1046,CKim_escitalopram_antiADHD_in_adhd_Age_Group_2_gap_0
